param,mean,median,0.950_CI_LB,0.950_CI_UB
hi_param_0,0.934841,0.935284,0.929484,0.940301
hi_param_1,0.494780,0.494895,0.482992,0.501819
hi_param_2,0.182134,0.181160,0.151602,0.216928
hi_param_3,0.438987,0.438569,0.433143,0.445440
hi_param_4,0.085479,0.085159,0.070692,0.110925
hi_param_5,0.501954,0.501443,0.496207,0.509198
hi_param_6,0.210174,0.209126,0.190332,0.237531
hi_param_7,0.145649,0.142427,0.125117,0.180287
hi_param_8,0.485047,0.484707,0.478530,0.493079
hi_param_9,0.439813,0.440196,0.429959,0.450801
hi_param_10,0.847144,0.852150,0.818910,0.859540
hi_param_11,0.499597,0.499674,0.493401,0.507509
hi_param_12,0.505179,0.505175,0.492713,0.516064
hi_param_13,0.517929,0.516063,0.509286,0.533052
hi_param_14,0.431659,0.431975,0.422313,0.441970
hi_param_15,0.942241,0.941377,0.929719,0.953014
hi_param_16,0.501991,0.501117,0.491944,0.516339
hi_param_17,0.901827,0.900555,0.890130,0.911648
hi_param_18,0.867565,0.871695,0.847574,0.881427
hi_param_19,0.502116,0.502276,0.492627,0.510418
hi_param_20,0.510415,0.509718,0.501515,0.524190
hi_param_21,0.503292,0.503329,0.494075,0.514577
hi_param_22,0.498211,0.498141,0.492399,0.506276
hi_param_23,0.832523,0.831226,0.824317,0.840356
hi_param_24,0.734782,0.737839,0.707299,0.756409
hi_param_25,0.496813,0.496233,0.490544,0.506654
hi_param_26,0.039414,0.033065,0.022706,0.076599
hi_param_27,0.566053,0.566021,0.544557,0.582123
hi_param_28,0.504189,0.504175,0.495761,0.514409
hi_param_29,0.577749,0.575919,0.564017,0.597443
hi_param_30,0.503106,0.502592,0.494652,0.513411
hi_param_31,0.609893,0.609103,0.596806,0.630450
hi_param_32,0.422000,0.421617,0.412378,0.433251
hi_param_33,0.258709,0.253981,0.232326,0.288362
hi_param_34,0.503342,0.503649,0.494716,0.511671
hi_param_35,0.026918,0.016853,0.011726,0.074598
hi_param_36,0.507216,0.506491,0.499353,0.517860
hi_param_37,0.512896,0.512314,0.501701,0.524437
hi_param_38,0.508452,0.508151,0.497475,0.518529
hi_param_39,0.504673,0.504762,0.497962,0.510764
hi_param_40,0.152080,0.153545,0.119721,0.179954
hi_param_41,0.500017,0.500350,0.493311,0.507131
hi_param_42,0.178311,0.178845,0.148499,0.201884
hi_param_43,0.168235,0.168118,0.151971,0.183514
hi_param_44,0.505299,0.505034,0.493022,0.514313
hi_param_45,0.498731,0.499321,0.490523,0.508954
hi_param_46,0.440729,0.441096,0.431734,0.447398
hi_param_47,0.514406,0.514754,0.507234,0.523460
hi_param_48,0.504295,0.503530,0.497430,0.513668
hi_param_49,0.093371,0.094585,0.062649,0.118204
hi_param_50,0.559104,0.559679,0.546520,0.578948
hi_param_51,0.152100,0.153555,0.122527,0.171331
hi_param_52,0.503556,0.503464,0.493816,0.511817
hi_param_53,0.446669,0.447077,0.436835,0.455917
hi_param_54,0.127375,0.128311,0.100797,0.155365
hi_param_55,0.091922,0.092920,0.066418,0.116330
