chromosome scaffold starting_kbp_pos ending_kbp_pos number_of_markers
1 CM022157.1 86542.355 86662.073 5
1 CM022157.1 87044.536 87957.403 5
1 CM022157.1 112072.98 112165.57 6
1 CM022157.1 112326.551 112484.376 6
10 CM022160.1 20079.582 20195.816 11
11 CM022161.1 2165.363 2569.568 5
19 JAAMOC010000544.1 1809.059 1954.029 6
1A JAAMOC010000547.1 6046.076 11425.406 8
1A JAAMOC010000547.1 13410.623 14245.477 5
1A JAAMOC010000547.1 27335.062 27541.533 6
1A JAAMOC010000547.1 66567.298 67493.873 11
24 CM022170.1 5378.905 5464.572 6
5 CM022158.1 9121.52 9154.5 7
5 CM022158.1 11427.387 11527.489 6
5 CM022158.1 11677.983 13323.269 5
5 CM022158.1 14893.172 15435.284 5
5 CM022158.1 22392.284 22580.148 7
Z CM022174.1 1126.264 14658.884 24
Z CM022174.1 15113.305 34172.229 31
Z CM022174.1 35013.7 36643.19 5
Z CM022174.1 36871.535 37632.781 20
Z CM022174.1 37740.564 38327.965 15
Z CM022174.1 45088.124 45528.579 8
Z CM022174.1 46828.62 48976.018 6
Z CM022174.1 50778.681 53776.403 8
Z CM022174.1 54530.532 58302.679 5
Z CM022174.1 60414.667 62697.882 5
