param,mean,median,0.950_CI_LB,0.950_CI_UB
beta_loc_0_pop_0,2.443534,2.729079,0.626176,3.684700
beta_loc_1_pop_0,1.826888,1.841341,0.201345,3.691450
beta_loc_2_pop_0,-4.733113,-4.623627,-6.242401,-3.624652
beta_loc_3_pop_0,-0.155994,0.044875,-1.578817,0.910376
beta_loc_4_pop_0,4.371651,3.732357,1.144060,8.612436
beta_loc_5_pop_0,-1.376215,-1.562106,-3.060338,0.573818
beta_loc_6_pop_0,-5.142183,-5.149634,-6.904476,-3.317802
beta_loc_7_pop_0,0.544027,0.522621,-0.788270,2.363141
beta_loc_8_pop_0,-0.028232,-0.112428,-0.947926,1.223237
beta_loc_9_pop_0,-2.776065,-2.852598,-3.753311,-1.505121
beta_loc_10_pop_0,-2.187435,-2.200670,-4.095896,-0.057370
beta_loc_11_pop_0,0.116151,-0.105702,-0.884853,1.416297
beta_loc_12_pop_0,-0.148121,-0.264568,-0.942576,1.359201
beta_loc_13_pop_0,0.767538,0.667407,-0.387325,2.219027
beta_loc_14_pop_0,1.635862,1.688997,-0.543404,4.678363
beta_loc_15_pop_0,-2.132482,-2.107671,-3.457035,-1.032648
beta_loc_16_pop_0,0.959649,0.890123,-0.294896,2.546836
beta_loc_17_pop_0,-1.744577,-1.787994,-2.743399,-0.668566
beta_loc_18_pop_0,1.212242,1.324219,-0.530899,2.503990
beta_loc_19_pop_0,5.280088,6.300712,1.449118,8.019161
beta_loc_20_pop_0,0.186643,0.410687,-2.378661,1.869990
beta_loc_21_pop_0,0.168520,0.042045,-1.000170,1.789242
beta_loc_22_pop_0,-0.103234,-0.120610,-1.165773,0.999350
beta_loc_23_pop_0,-1.875891,-1.690804,-4.398370,-0.011629
beta_loc_24_pop_0,-3.654885,-3.504963,-4.962671,-2.492064
beta_loc_25_pop_0,-3.553303,-3.317018,-5.600185,-2.034500
beta_loc_26_pop_0,-3.008381,-2.883147,-4.580429,-1.747939
beta_loc_27_pop_0,-5.189836,-5.129953,-7.370492,-3.639945
beta_loc_28_pop_0,-0.095255,-0.368495,-0.955323,1.248750
beta_loc_29_pop_0,0.067328,0.062658,-0.969084,1.042034
beta_loc_30_pop_0,0.045965,0.018179,-0.887218,1.202132
beta_loc_31_pop_0,0.396398,0.303387,-0.820797,2.109218
beta_loc_32_pop_0,-1.735459,-2.422217,-4.695273,2.752230
beta_loc_33_pop_0,1.762190,1.507932,-0.886416,5.227765
beta_loc_34_pop_0,2.337457,1.675540,-0.450635,6.677292
beta_loc_35_pop_0,0.979590,0.994459,-0.359343,2.281795
beta_loc_36_pop_0,2.434677,2.547116,0.380139,4.460456
beta_loc_37_pop_0,1.449517,1.091786,-1.732505,4.494971
beta_loc_38_pop_0,1.556799,1.720219,-0.290184,3.115336
beta_loc_39_pop_0,0.654085,0.304950,-0.870511,3.606378
beta_loc_40_pop_0,1.288231,0.874243,-0.204716,3.790209
beta_loc_41_pop_0,-1.725485,-2.174992,-3.174995,0.432997
beta_loc_42_pop_0,-2.352462,-2.273626,-3.786471,-1.202573
beta_loc_43_pop_0,0.932137,1.050496,-0.809971,2.046293
beta_loc_44_pop_0,1.284015,1.299606,0.145610,2.247555
beta_loc_45_pop_0,4.245550,4.167217,2.100857,6.908301
beta_loc_46_pop_0,0.481515,0.444844,-0.995205,1.841601
beta_loc_47_pop_0,-3.810908,-3.837102,-5.396470,-2.384008
beta_loc_48_pop_0,-2.545833,-2.445739,-4.026317,-1.227130
beta_loc_49_pop_0,0.217298,0.100119,-0.759280,1.722680
