param,mean,median,0.950_CI_LB,0.950_CI_UB
zeta-quantile_param_0,0.861233,0.893938,0.631196,0.973201
zeta-quantile_param_1,0.794618,0.814713,0.545570,0.964240
zeta-quantile_param_2,0.088880,0.097084,0.023773,0.149366
zeta-quantile_param_3,0.485100,0.505118,0.329500,0.619881
zeta-quantile_param_4,0.853701,0.870256,0.651802,0.988494
zeta-quantile_param_5,0.342493,0.320431,0.153407,0.559570
zeta-quantile_param_6,0.051586,0.044787,0.013212,0.119872
zeta-quantile_param_7,0.624887,0.631339,0.322628,0.961273
zeta-quantile_param_8,0.491741,0.470306,0.259046,0.793647
zeta-quantile_param_9,0.040400,0.027942,0.003564,0.148286
zeta-quantile_param_10,0.115619,0.066677,0.001237,0.482182
zeta-quantile_param_11,0.535583,0.473381,0.275979,0.861219
zeta-quantile_param_12,0.456719,0.430974,0.259953,0.792073
zeta-quantile_param_13,0.673057,0.671080,0.403420,0.910733
zeta-quantile_param_14,0.672667,0.696123,0.439515,0.883036
zeta-quantile_param_15,0.231106,0.226729,0.081818,0.365042
zeta-quantile_param_16,0.649353,0.650800,0.447681,0.849254
zeta-quantile_param_17,0.236392,0.218888,0.113445,0.395042
zeta-quantile_param_18,0.689645,0.729736,0.407606,0.847274
zeta-quantile_param_19,0.961506,0.997905,0.781259,0.999660
zeta-quantile_param_20,0.552029,0.578983,0.142392,0.856115
zeta-quantile_param_21,0.525015,0.508557,0.279315,0.809505
zeta-quantile_param_22,0.471790,0.471676,0.238898,0.705238
zeta-quantile_param_23,0.189334,0.155818,0.010743,0.497225
zeta-quantile_param_24,0.054217,0.050415,0.003903,0.145383
zeta-quantile_param_25,0.094332,0.090878,0.009323,0.214751
zeta-quantile_param_26,0.191114,0.193010,0.066919,0.313619
zeta-quantile_param_27,0.071513,0.068476,0.020039,0.136632
zeta-quantile_param_28,0.479513,0.447623,0.348148,0.665350
zeta-quantile_param_29,0.515548,0.512268,0.326001,0.711955
zeta-quantile_param_30,0.508630,0.503880,0.312694,0.774917
zeta-quantile_param_31,0.585124,0.566015,0.344046,0.891528
zeta-quantile_param_32,0.309232,0.136752,0.028144,0.917191
zeta-quantile_param_33,0.665262,0.686039,0.380174,0.931814
zeta-quantile_param_34,0.771204,0.829612,0.396691,0.999019
zeta-quantile_param_35,0.706617,0.717679,0.418759,0.936413
zeta-quantile_param_36,0.896018,0.937848,0.605373,0.991238
zeta-quantile_param_37,0.687757,0.736548,0.137413,0.990385
zeta-quantile_param_38,0.758238,0.800750,0.445724,0.945132
zeta-quantile_param_39,0.593328,0.548892,0.348797,0.967050
zeta-quantile_param_40,0.687501,0.659655,0.463234,0.934855
zeta-quantile_param_41,0.186540,0.073384,0.017795,0.595409
zeta-quantile_param_42,0.085690,0.071718,0.010470,0.244073
zeta-quantile_param_43,0.682027,0.721235,0.302590,0.880895
zeta-quantile_param_44,0.756206,0.767835,0.530918,0.900468
zeta-quantile_param_45,0.960019,0.974260,0.861591,0.999296
zeta-quantile_param_46,0.549216,0.550709,0.368766,0.690823
zeta-quantile_param_47,0.139597,0.130686,0.067504,0.242925
zeta-quantile_param_48,0.126883,0.119798,0.022302,0.280262
zeta-quantile_param_49,0.532622,0.519791,0.352130,0.776272
zeta-quantile_param_50,0.719377,0.692824,0.458685,0.983550
zeta-quantile_param_51,0.307925,0.330545,0.029340,0.675170
zeta-quantile_param_52,0.648899,0.654530,0.404542,0.935785
zeta-quantile_param_53,0.105310,0.104931,0.033164,0.196886
zeta-quantile_param_54,0.614802,0.559997,0.437827,0.907753
zeta-quantile_param_55,0.513667,0.493085,0.394154,0.701047
zeta-quantile_param_56,0.509458,0.508150,0.395615,0.663066
zeta-quantile_param_57,0.302738,0.291401,0.147497,0.498003
zeta-quantile_param_58,0.346857,0.375810,0.080013,0.574904
