param,mean,median,0.950_CI_LB,0.950_CI_UB
gamma-quantile_param_0,0.609217,0.614737,0.189843,0.921116
gamma-quantile_param_1,0.498159,0.506571,0.129493,0.846284
gamma-quantile_param_2,0.753198,0.795786,0.345002,0.992353
gamma-quantile_param_3,0.363452,0.407291,0.026373,0.684619
gamma-quantile_param_4,0.549919,0.501490,0.176944,0.961985
gamma-quantile_param_5,0.244821,0.170126,0.020472,0.821004
gamma-quantile_param_6,0.933919,0.977522,0.699260,0.999942
gamma-quantile_param_7,0.557973,0.616559,0.029587,0.967224
gamma-quantile_param_8,0.524052,0.518855,0.124564,0.927344
gamma-quantile_param_9,0.116235,0.041048,0.001351,0.739044
gamma-quantile_param_10,0.154541,0.041072,0.000371,0.878277
gamma-quantile_param_11,0.399886,0.375801,0.031857,0.862297
gamma-quantile_param_12,0.578989,0.612674,0.114982,0.955567
gamma-quantile_param_13,0.569317,0.571489,0.183127,0.934736
gamma-quantile_param_14,0.693355,0.806722,0.160883,0.976288
gamma-quantile_param_15,0.116527,0.075098,0.003749,0.439445
gamma-quantile_param_16,0.530322,0.514281,0.158909,0.958066
gamma-quantile_param_17,0.102563,0.062013,0.000895,0.478656
gamma-quantile_param_18,0.766152,0.756388,0.389710,0.999474
gamma-quantile_param_19,0.787321,0.813542,0.468565,0.992799
gamma-quantile_param_20,0.919660,0.943178,0.747795,0.999877
gamma-quantile_param_21,0.879672,0.941745,0.531928,0.997679
gamma-quantile_param_22,0.835494,0.911128,0.380394,0.998412
gamma-quantile_param_23,0.386346,0.196198,0.010767,0.999877
gamma-quantile_param_24,0.465494,0.403603,0.035100,0.968334
gamma-quantile_param_25,0.375803,0.293332,0.021836,0.940810
gamma-quantile_param_26,0.467829,0.369480,0.084351,0.984260
gamma-quantile_param_27,0.769610,0.769986,0.602192,0.903283
gamma-quantile_param_28,0.469519,0.466900,0.116730,0.794611
gamma-quantile_param_29,0.811535,0.897187,0.212898,0.989478
gamma-quantile_param_30,0.421048,0.376971,0.025019,0.954097
gamma-quantile_param_31,0.601139,0.586335,0.186833,0.977338
gamma-quantile_param_32,0.447145,0.363654,0.013804,0.971426
gamma-quantile_param_33,0.617024,0.648695,0.166437,0.990496
gamma-quantile_param_34,0.555773,0.591869,0.066724,0.991431
gamma-quantile_param_35,0.612093,0.657209,0.156969,0.991258
gamma-quantile_param_36,0.585451,0.600418,0.151918,0.983296
gamma-quantile_param_37,0.463011,0.393081,0.005217,0.999774
gamma-quantile_param_38,0.631694,0.662507,0.125656,0.999631
gamma-quantile_param_39,0.664848,0.646903,0.291512,0.994831
gamma-quantile_param_40,0.642422,0.676087,0.177735,0.923373
gamma-quantile_param_41,0.111381,0.058889,0.000708,0.437107
gamma-quantile_param_42,0.185959,0.112085,0.001417,0.840896
gamma-quantile_param_43,0.220085,0.166540,0.010923,0.659401
gamma-quantile_param_44,0.312593,0.286143,0.011662,0.848562
gamma-quantile_param_45,0.460782,0.462360,0.359269,0.561760
gamma-quantile_param_46,0.520815,0.492011,0.107648,0.884716
gamma-quantile_param_47,0.317589,0.249879,0.020623,0.863345
gamma-quantile_param_48,0.157282,0.123482,0.003225,0.522126
gamma-quantile_param_49,0.351732,0.255443,0.002042,0.868472
gamma-quantile_param_50,0.189913,0.165202,0.003983,0.543030
gamma-quantile_param_51,0.276113,0.223999,0.066052,0.623864
gamma-quantile_param_52,0.727153,0.858162,0.116532,0.991240
gamma-quantile_param_53,0.518369,0.506491,0.095491,0.950703
gamma-quantile_param_54,0.642633,0.654589,0.354476,0.874994
gamma-quantile_param_55,0.594144,0.570031,0.302323,0.939806
gamma-quantile_param_56,0.344226,0.339254,0.080075,0.674627
gamma-quantile_param_57,0.143090,0.109374,0.020631,0.383257
gamma-quantile_param_58,0.316113,0.267542,0.002417,0.959656
gamma-quantile_param_59,0.142920,0.099686,0.001017,0.571821
gamma-quantile_param_60,0.524144,0.528266,0.090082,0.995446
gamma-quantile_param_61,0.748617,0.780642,0.366708,0.947950
gamma-quantile_param_62,0.168124,0.148734,0.006999,0.532818
gamma-quantile_param_63,0.777736,0.787343,0.488479,0.997203
gamma-quantile_param_64,0.152307,0.118158,0.010106,0.473376
gamma-quantile_param_65,0.907276,0.924560,0.762688,0.992387
gamma-quantile_param_66,0.717986,0.779884,0.338737,0.948596
gamma-quantile_param_67,0.446039,0.454934,0.210051,0.630233
gamma-quantile_param_68,0.401804,0.428942,0.027488,0.756195
gamma-quantile_param_69,0.334147,0.316879,0.048613,0.713599
gamma-quantile_param_70,0.196530,0.179819,0.060117,0.434904
gamma-quantile_param_71,0.702544,0.694034,0.553878,0.886120
gamma-quantile_param_72,0.642778,0.629451,0.391404,0.954324
gamma-quantile_param_73,0.689811,0.695844,0.472425,0.906737
gamma-quantile_param_74,0.688054,0.734056,0.151430,0.966778
gamma-quantile_param_75,0.513292,0.510696,0.073341,0.949397
gamma-quantile_param_76,0.981219,0.987252,0.937697,0.997769
gamma-quantile_param_77,0.882565,0.890205,0.774684,0.965170
gamma-quantile_param_78,0.631895,0.628945,0.504042,0.790859
gamma-quantile_param_79,0.436547,0.492334,0.007625,0.976456
gamma-quantile_param_80,0.235337,0.185236,0.023903,0.589958
gamma-quantile_param_81,0.371320,0.409939,0.017589,0.676176
gamma-quantile_param_82,0.125465,0.075226,0.000914,0.482034
gamma-quantile_param_83,0.198930,0.136626,0.003989,0.669080
gamma-quantile_param_84,0.786307,0.802688,0.447411,0.987528
gamma-quantile_param_85,0.598598,0.594235,0.304940,0.951165
gamma-quantile_param_86,0.576048,0.575245,0.316000,0.930317
gamma-quantile_param_87,0.839195,0.850613,0.639458,0.987182
gamma-quantile_param_88,0.594191,0.576352,0.330302,0.967942
gamma-quantile_param_89,0.476209,0.519652,0.043445,0.891110
gamma-quantile_param_90,0.712388,0.684891,0.458178,0.971185
gamma-quantile_param_91,0.830836,0.836807,0.617682,0.978668
gamma-quantile_param_92,0.845722,0.849412,0.725775,0.946372
gamma-quantile_param_93,0.753407,0.732805,0.555469,0.972284
gamma-quantile_param_94,0.395446,0.334725,0.029263,0.854186
gamma-quantile_param_95,0.639704,0.685861,0.220552,0.920561
gamma-quantile_param_96,0.669579,0.673979,0.297008,0.935305
gamma-quantile_param_97,0.558606,0.559170,0.466845,0.646271
gamma-quantile_param_98,0.670885,0.674047,0.525238,0.812390
gamma-quantile_param_99,0.547229,0.626867,0.036934,0.942028
gamma-quantile_param_100,0.577600,0.577559,0.492852,0.660960
gamma-quantile_param_101,0.267633,0.219735,0.005344,0.699011
gamma-quantile_param_102,0.503471,0.504462,0.396481,0.606241
gamma-quantile_param_103,0.367699,0.419420,0.055093,0.570920
gamma-quantile_param_104,0.593743,0.595929,0.480801,0.700316
gamma-quantile_param_105,0.553409,0.557601,0.399860,0.702473
gamma-quantile_param_106,0.414370,0.403472,0.239150,0.658356
gamma-quantile_param_107,0.819738,0.824481,0.670024,0.944693
gamma-quantile_param_108,0.883186,0.885119,0.786241,0.962377
gamma-quantile_param_109,0.624961,0.631438,0.421220,0.806432
gamma-quantile_param_110,0.903847,0.949206,0.586441,0.997876
gamma-quantile_param_111,0.625124,0.628351,0.403441,0.820927
gamma-quantile_param_112,0.471322,0.479422,0.199375,0.687968
gamma-quantile_param_113,0.513846,0.513283,0.353386,0.656177
gamma-quantile_param_114,0.561185,0.561918,0.457726,0.672355
gamma-quantile_param_115,0.634155,0.790943,0.010365,0.967609
gamma-quantile_param_116,0.666501,0.716826,0.132354,0.993664
gamma-quantile_param_117,0.725667,0.857940,0.106769,0.956725
gamma-quantile_param_118,0.178837,0.132458,0.004771,0.534519
gamma-quantile_param_119,0.503881,0.496914,0.431516,0.711736
gamma-quantile_param_120,0.905322,0.913739,0.813514,0.960312
gamma-quantile_param_121,0.185772,0.103610,0.004007,0.697955
gamma-quantile_param_122,0.543985,0.541800,0.446519,0.638720
gamma-quantile_param_123,0.149178,0.096914,0.011174,0.658106
gamma-quantile_param_124,0.432081,0.300857,0.034255,0.961618
gamma-quantile_param_125,0.901691,0.921492,0.660256,0.991226
gamma-quantile_param_126,0.517298,0.517227,0.372228,0.661642
gamma-quantile_param_127,0.600062,0.587365,0.327529,0.878476
gamma-quantile_param_128,0.581850,0.581089,0.500498,0.668163
gamma-quantile_param_129,0.596810,0.568676,0.319132,0.933646
gamma-quantile_param_130,0.576525,0.580031,0.477068,0.663626
gamma-quantile_param_131,0.659889,0.781085,0.071008,0.920087
gamma-quantile_param_132,0.527843,0.530046,0.409663,0.655639
gamma-quantile_param_133,0.385331,0.382780,0.160247,0.606281
gamma-quantile_param_134,0.552126,0.515800,0.286267,0.789346
gamma-quantile_param_135,0.622384,0.624265,0.431666,0.843568
gamma-quantile_param_136,0.641159,0.638239,0.476652,0.842605
gamma-quantile_param_137,0.379243,0.366732,0.208149,0.624708
gamma-quantile_param_138,0.623038,0.625889,0.488262,0.734998
gamma-quantile_param_139,0.772979,0.778576,0.628529,0.888360
gamma-quantile_param_140,0.427921,0.428408,0.165236,0.716103
gamma-quantile_param_141,0.641775,0.646533,0.523246,0.754583
gamma-quantile_param_142,0.710377,0.701254,0.528248,0.931957
gamma-quantile_param_143,0.635300,0.737718,0.139826,0.872494
gamma-quantile_param_144,0.740067,0.726360,0.519802,0.978148
gamma-quantile_param_145,0.509713,0.509783,0.440473,0.582317
gamma-quantile_param_146,0.595320,0.605160,0.377823,0.764887
gamma-quantile_param_147,0.541899,0.538164,0.384619,0.718023
gamma-quantile_param_148,0.411266,0.259908,0.028391,0.982195
gamma-quantile_param_149,0.520484,0.518917,0.427723,0.617469
gamma-quantile_param_150,0.477227,0.438753,0.250695,0.941107
gamma-quantile_param_151,0.320514,0.334191,0.029164,0.629997
gamma-quantile_param_152,0.488690,0.567655,0.007698,0.842257
gamma-quantile_param_153,0.501548,0.499850,0.392366,0.608413
gamma-quantile_param_154,0.479232,0.479473,0.387332,0.571524
gamma-quantile_param_155,0.613936,0.606440,0.431967,0.851320
gamma-quantile_param_156,0.465337,0.466380,0.404524,0.524856
gamma-quantile_param_157,0.405620,0.407235,0.285207,0.521420
gamma-quantile_param_158,0.551066,0.546741,0.381633,0.735996
gamma-quantile_param_159,0.566125,0.540409,0.380076,0.950366
gamma-quantile_param_160,0.478666,0.443503,0.217250,0.905262
gamma-quantile_param_161,0.461884,0.452791,0.315010,0.660593
gamma-quantile_param_162,0.758580,0.861384,0.345747,0.986367
gamma-quantile_param_163,0.539408,0.541703,0.440321,0.625689
gamma-quantile_param_164,0.577471,0.612120,0.165298,0.864682
gamma-quantile_param_165,0.512032,0.513461,0.442691,0.575598
gamma-quantile_param_166,0.583443,0.583248,0.481503,0.685166
gamma-quantile_param_167,0.460497,0.459091,0.380156,0.547012
gamma-quantile_param_168,0.524220,0.524194,0.450791,0.600250
gamma-quantile_param_169,0.508921,0.508590,0.439815,0.579254
gamma-quantile_param_170,0.577420,0.572763,0.404594,0.776810
gamma-quantile_param_171,0.484407,0.482797,0.384226,0.580411
gamma-quantile_param_172,0.491467,0.501066,0.256020,0.759514
gamma-quantile_param_173,0.202389,0.218633,0.001910,0.467837
gamma-quantile_param_174,0.117394,0.081417,0.005501,0.461671
gamma-quantile_param_175,0.501080,0.516388,0.048890,0.914862
gamma-quantile_param_176,0.729938,0.763108,0.372483,0.959510
gamma-quantile_param_177,0.824558,0.854930,0.469145,0.995063
gamma-quantile_param_178,0.492409,0.492246,0.410859,0.581929
gamma-quantile_param_179,0.608048,0.607888,0.524722,0.692848
gamma-quantile_param_180,0.623862,0.623685,0.549284,0.703066
gamma-quantile_param_181,0.431298,0.462776,0.057883,0.842792
gamma-quantile_param_182,0.690112,0.718222,0.370579,0.907659
gamma-quantile_param_183,0.506320,0.506065,0.409885,0.609532
gamma-quantile_param_184,0.662145,0.669086,0.529578,0.759329
gamma-quantile_param_185,0.516637,0.527219,0.328863,0.688813
gamma-quantile_param_186,0.313405,0.335311,0.012501,0.635214
gamma-quantile_param_187,0.512936,0.512816,0.443219,0.582445
gamma-quantile_param_188,0.303130,0.270512,0.069107,0.640744
gamma-quantile_param_189,0.103862,0.085729,0.008956,0.298476
gamma-quantile_param_190,0.525062,0.524065,0.446282,0.601700
gamma-quantile_param_191,0.547555,0.549619,0.480072,0.605824
gamma-quantile_param_192,0.690792,0.687338,0.553546,0.840944
gamma-quantile_param_193,0.474557,0.471584,0.268412,0.678958
gamma-quantile_param_194,0.742735,0.753041,0.522538,0.891647
gamma-quantile_param_195,0.370089,0.358217,0.143354,0.615515
gamma-quantile_param_196,0.824340,0.840218,0.567454,0.982372
gamma-quantile_param_197,0.168636,0.139684,0.018053,0.438838
gamma-quantile_param_198,0.524239,0.523110,0.365402,0.684971
gamma-quantile_param_199,0.775255,0.884254,0.273768,0.999585
gamma-quantile_param_200,0.466173,0.463108,0.073203,0.865670
gamma-quantile_param_201,0.659090,0.666406,0.443395,0.850877
gamma-quantile_param_202,0.343204,0.336259,0.017860,0.675943
gamma-quantile_param_203,0.549270,0.558062,0.270932,0.789449
gamma-quantile_param_204,0.596994,0.684761,0.031968,0.976887
gamma-quantile_param_205,0.435556,0.431404,0.273956,0.609085
gamma-quantile_param_206,0.715151,0.742601,0.371948,0.961865
gamma-quantile_param_207,0.809305,0.860644,0.359309,0.985224
gamma-quantile_param_208,0.693180,0.722376,0.345372,0.909952
gamma-quantile_param_209,0.572711,0.574574,0.338807,0.792103
gamma-quantile_param_210,0.622987,0.696028,0.049259,0.987969
gamma-quantile_param_211,0.305538,0.299782,0.170467,0.473380
gamma-quantile_param_212,0.453225,0.461725,0.197245,0.691491
gamma-quantile_param_213,0.475845,0.477839,0.294508,0.639147
gamma-quantile_param_214,0.571460,0.572057,0.392769,0.746011
gamma-quantile_param_215,0.387894,0.407429,0.019822,0.754426
gamma-quantile_param_216,0.425163,0.438219,0.061064,0.696165
gamma-quantile_param_217,0.454654,0.453823,0.334017,0.584388
gamma-quantile_param_218,0.517890,0.516321,0.423515,0.623253
gamma-quantile_param_219,0.469802,0.470540,0.392150,0.548802
gamma-quantile_param_220,0.450859,0.448194,0.351565,0.563412
gamma-quantile_param_221,0.506544,0.505201,0.409329,0.613439
gamma-quantile_param_222,0.118706,0.074344,0.006035,0.414294
gamma-quantile_param_223,0.605305,0.607374,0.437704,0.771043
gamma-quantile_param_224,0.312246,0.297730,0.155222,0.561214
gamma-quantile_param_225,0.259351,0.255763,0.148662,0.391231
gamma-quantile_param_226,0.579021,0.591366,0.372409,0.742658
gamma-quantile_param_227,0.383395,0.353711,0.120546,0.737213
gamma-quantile_param_228,0.399782,0.397938,0.259501,0.561762
gamma-quantile_param_229,0.510083,0.510921,0.393033,0.617371
gamma-quantile_param_230,0.566904,0.565356,0.433884,0.705867
gamma-quantile_param_231,0.562721,0.559765,0.448150,0.695798
gamma-quantile_param_232,0.571047,0.570876,0.397927,0.737750
gamma-quantile_param_233,0.136433,0.106513,0.005925,0.411927
gamma-quantile_param_234,0.451274,0.447981,0.357832,0.561950
gamma-quantile_param_235,0.518287,0.518105,0.425773,0.606880
gamma-quantile_param_236,0.531456,0.533658,0.460101,0.590850
gamma-quantile_param_237,0.501668,0.498851,0.411861,0.610103
gamma-quantile_param_238,0.418986,0.417392,0.349139,0.497496
gamma-quantile_param_239,0.527584,0.536369,0.148843,0.983921
gamma-quantile_param_240,0.581394,0.580772,0.373697,0.780015
gamma-quantile_param_241,0.511780,0.511004,0.423882,0.614885
gamma-quantile_param_242,0.535410,0.536625,0.339066,0.708391
gamma-quantile_param_243,0.828645,0.839195,0.618932,0.958529
gamma-quantile_param_244,0.846991,0.849686,0.733543,0.928532
gamma-quantile_param_245,0.423728,0.424968,0.307412,0.530248
gamma-quantile_param_246,0.720056,0.789597,0.151877,0.984967
gamma-quantile_param_247,0.539846,0.541824,0.413549,0.651595
gamma-quantile_param_248,0.414694,0.412379,0.293025,0.547971
gamma-quantile_param_249,0.496512,0.507851,0.160675,0.714082
gamma-quantile_param_250,0.408493,0.401406,0.254463,0.599736
gamma-quantile_param_251,0.506510,0.505670,0.391548,0.625613
gamma-quantile_param_252,0.317906,0.306147,0.167406,0.546545
gamma-quantile_param_253,0.392173,0.390631,0.159485,0.650280
gamma-quantile_param_254,0.524009,0.523330,0.416302,0.636160
gamma-quantile_param_255,0.488183,0.489194,0.417665,0.560062
gamma-quantile_param_256,0.251467,0.155062,0.012748,0.692473
gamma-quantile_param_257,0.551453,0.550435,0.420295,0.685227
gamma-quantile_param_258,0.412563,0.371863,0.210657,0.791586
gamma-quantile_param_259,0.586455,0.585783,0.416627,0.750208
gamma-quantile_param_260,0.818503,0.823619,0.555185,0.992100
gamma-quantile_param_261,0.489281,0.481668,0.368456,0.638916
gamma-quantile_param_262,0.455237,0.453510,0.332111,0.576424
gamma-quantile_param_263,0.600508,0.559384,0.437716,0.919244
gamma-quantile_param_264,0.514865,0.514975,0.454097,0.573861
gamma-quantile_param_265,0.417666,0.419120,0.342876,0.494264
gamma-quantile_param_266,0.525434,0.525124,0.437813,0.616263
gamma-quantile_param_267,0.207065,0.203587,0.035539,0.381983
gamma-quantile_param_268,0.661871,0.695401,0.300235,0.910103
gamma-quantile_param_269,0.498693,0.502449,0.275297,0.695248
gamma-quantile_param_270,0.517371,0.520081,0.407621,0.622721
gamma-quantile_param_271,0.823342,0.825983,0.733967,0.897783
gamma-quantile_param_272,0.675074,0.682019,0.388403,0.909846
gamma-quantile_param_273,0.487535,0.486422,0.337237,0.623464
gamma-quantile_param_274,0.527505,0.528502,0.381372,0.667440
gamma-quantile_param_275,0.595238,0.600024,0.403061,0.763103
gamma-quantile_param_276,0.211670,0.195934,0.073783,0.432279
gamma-quantile_param_277,0.431344,0.428599,0.199333,0.675781
gamma-quantile_param_278,0.383912,0.379960,0.229312,0.551865
gamma-quantile_param_279,0.704771,0.754952,0.231785,0.982274
gamma-quantile_param_280,0.311759,0.239154,0.000214,0.830242
gamma-quantile_param_281,0.599902,0.599350,0.526947,0.670921
gamma-quantile_param_282,0.429320,0.436071,0.273324,0.571614
gamma-quantile_param_283,0.483523,0.482911,0.382609,0.580267
gamma-quantile_param_284,0.559562,0.558607,0.455178,0.657486
gamma-quantile_param_285,0.428709,0.427196,0.368068,0.498169
gamma-quantile_param_286,0.528906,0.528270,0.455796,0.601358
gamma-quantile_param_287,0.132607,0.124953,0.014626,0.309827
gamma-quantile_param_288,0.348760,0.178392,0.001433,0.892449
gamma-quantile_param_289,0.424611,0.414349,0.009312,0.929304
gamma-quantile_param_290,0.410532,0.407022,0.285498,0.551999
