param,mean,median,0.950_CI_LB,0.950_CI_UB
alpha_loc_0_pop_0,0.277084,0.256488,-0.830975,1.198792
alpha_loc_1_pop_0,-0.008281,0.014826,-1.008652,0.890269
alpha_loc_2_pop_0,1.355871,1.240802,-0.589530,3.805197
alpha_loc_3_pop_0,-0.741411,-0.345318,-3.113141,0.715852
alpha_loc_4_pop_0,0.254966,0.005687,-1.338131,2.479109
alpha_loc_5_pop_0,-1.305575,-1.407669,-3.153885,1.265236
alpha_loc_6_pop_0,2.726484,2.713563,0.743799,4.862962
alpha_loc_7_pop_0,0.128955,0.205186,-1.300849,1.281336
alpha_loc_8_pop_0,0.054153,0.032473,-0.765643,0.910026
alpha_loc_9_pop_0,-1.048311,-1.143570,-1.936560,0.391162
alpha_loc_10_pop_0,-0.994510,-1.107265,-2.176385,0.671378
alpha_loc_11_pop_0,-0.201864,-0.207046,-1.116739,0.676337
alpha_loc_12_pop_0,0.159947,0.192672,-0.838853,1.128017
alpha_loc_13_pop_0,0.147354,0.124874,-0.610087,1.008920
alpha_loc_14_pop_0,1.011764,1.280145,-1.562808,3.057788
alpha_loc_15_pop_0,-1.820186,-1.829839,-3.416780,-0.182195
alpha_loc_16_pop_0,0.108658,0.034372,-1.064484,1.705482
alpha_loc_17_pop_0,-1.641485,-1.603040,-3.412183,-0.058345
alpha_loc_18_pop_0,1.163992,0.699942,-0.289133,3.448720
alpha_loc_19_pop_0,0.913689,0.863340,-0.077065,2.194260
alpha_loc_20_pop_0,1.486243,1.361074,0.562979,3.119950
alpha_loc_21_pop_0,1.272214,1.361338,0.069645,2.471684
alpha_loc_22_pop_0,1.001091,1.042578,-0.233610,2.147201
alpha_loc_23_pop_0,-0.206967,-0.671357,-1.689609,2.587412
alpha_loc_24_pop_0,-0.113492,-0.234549,-1.690527,1.633664
alpha_loc_25_pop_0,-0.465568,-0.611307,-2.331031,1.723620
alpha_loc_26_pop_0,-0.135901,-0.509087,-2.108880,2.979264
alpha_loc_27_pop_0,1.155512,1.123899,0.403201,1.913568
alpha_loc_28_pop_0,-0.101775,-0.094833,-1.432371,1.025144
alpha_loc_29_pop_0,1.006123,1.123884,-0.678615,2.103962
alpha_loc_30_pop_0,-0.208366,-0.244703,-1.644991,1.284718
alpha_loc_31_pop_0,0.285221,0.169982,-0.746918,1.561729
alpha_loc_32_pop_0,-0.207361,-0.348787,-2.179162,1.757432
alpha_loc_33_pop_0,0.521092,0.537323,-1.399483,3.025235
alpha_loc_34_pop_0,0.211224,0.199637,-1.245125,2.053641
alpha_loc_35_pop_0,0.307772,0.298357,-0.747069,1.840306
alpha_loc_36_pop_0,0.222129,0.182183,-0.725097,1.494363
alpha_loc_37_pop_0,-0.099298,-0.208197,-1.970878,2.463735
alpha_loc_38_pop_0,0.442638,0.365364,-1.077411,2.804344
alpha_loc_39_pop_0,0.571471,0.385307,-0.573925,2.392890
alpha_loc_40_pop_0,0.406877,0.441866,-0.932449,1.461494
alpha_loc_41_pop_0,-1.104871,-1.108056,-2.202405,-0.104225
alpha_loc_42_pop_0,-0.873854,-0.867651,-2.088741,0.717640
alpha_loc_43_pop_0,-0.746162,-0.751995,-1.813711,0.305571
alpha_loc_44_pop_0,-0.533692,-0.455995,-1.823419,0.773630
alpha_loc_45_pop_0,-0.089861,-0.085779,-0.316999,0.140961
alpha_loc_46_pop_0,0.124991,-0.030656,-1.739095,1.897044
alpha_loc_47_pop_0,-0.881739,-1.029031,-2.941889,1.762361
alpha_loc_48_pop_0,-1.148066,-1.072575,-2.571928,0.052216
alpha_loc_49_pop_0,-0.612401,-0.587609,-2.771595,1.042391
alpha_loc_50_pop_0,-1.244111,-1.139209,-3.024480,0.118593
alpha_loc_51_pop_0,-0.875137,-0.975235,-2.016474,0.424025
alpha_loc_52_pop_0,1.225569,1.619000,-1.748870,3.599797
alpha_loc_53_pop_0,0.155138,0.024712,-1.927979,2.549211
alpha_loc_54_pop_0,0.571443,0.570427,-0.500784,1.699519
alpha_loc_55_pop_0,0.424580,0.248172,-0.748911,2.341402
alpha_loc_56_pop_0,-0.668573,-0.624765,-2.102445,0.723651
alpha_loc_57_pop_0,-1.792230,-1.874875,-3.229269,-0.429386
alpha_loc_58_pop_0,-0.617554,-0.535957,-2.569765,1.501284
alpha_loc_59_pop_0,-1.209799,-1.135431,-2.753166,0.154990
alpha_loc_60_pop_0,0.117923,0.079144,-1.450123,2.645337
alpha_loc_61_pop_0,0.804334,0.837238,-0.347907,1.750829
alpha_loc_62_pop_0,-1.703240,-1.552084,-3.944984,0.127871
alpha_loc_63_pop_0,1.356555,1.191380,-0.040989,4.063988
alpha_loc_64_pop_0,-1.751177,-1.759313,-3.390096,-0.095948
alpha_loc_65_pop_0,2.220899,2.122625,1.031351,3.873565
alpha_loc_66_pop_0,1.050852,1.187405,-0.596759,2.546690
alpha_loc_67_pop_0,-0.191971,-0.153044,-1.098509,0.447468
alpha_loc_68_pop_0,-0.396221,-0.195737,-2.204791,0.746674
alpha_loc_69_pop_0,-0.505040,-0.507396,-1.582014,0.588388
alpha_loc_70_pop_0,-1.060381,-1.063096,-1.862670,-0.175543
alpha_loc_71_pop_0,0.676780,0.616471,0.164314,1.447950
alpha_loc_72_pop_0,0.514334,0.392984,-0.347381,2.118507
alpha_loc_73_pop_0,0.692926,0.675755,-0.097288,1.817677
alpha_loc_74_pop_0,0.765641,0.834137,-1.449862,2.349293
alpha_loc_75_pop_0,0.063587,0.022726,-1.206221,1.451879
alpha_loc_76_pop_0,1.900522,1.932733,1.317183,2.394670
alpha_loc_77_pop_0,1.867581,1.861248,1.155422,2.706622
alpha_loc_78_pop_0,0.511973,0.484101,0.015806,1.241088
alpha_loc_79_pop_0,-0.424920,-0.025899,-3.368192,2.470161
alpha_loc_80_pop_0,-1.161183,-1.202676,-2.713084,0.297323
alpha_loc_81_pop_0,-0.559385,-0.315255,-2.717409,0.634284
alpha_loc_82_pop_0,-1.364752,-1.304165,-2.890174,-0.042564
alpha_loc_83_pop_0,-0.980014,-0.997678,-2.368210,0.360879
alpha_loc_84_pop_0,0.943301,0.837487,-0.138803,2.193199
alpha_loc_85_pop_0,0.289742,0.242252,-0.521780,1.551586
alpha_loc_86_pop_0,0.319419,0.261554,-0.641812,2.137716
alpha_loc_87_pop_0,1.630899,1.542395,0.515072,3.272746
alpha_loc_88_pop_0,0.419845,0.290462,-0.645859,2.564144
alpha_loc_89_pop_0,-0.232260,0.077397,-2.701456,1.811899
alpha_loc_90_pop_0,0.974814,0.731807,-0.159817,2.947724
alpha_loc_91_pop_0,1.573036,1.481240,0.458846,3.169893
alpha_loc_92_pop_0,1.292993,1.272501,0.728484,1.939453
alpha_loc_93_pop_0,0.948938,0.752195,0.172336,2.486260
alpha_loc_94_pop_0,-0.502905,-0.669335,-2.676122,1.544644
alpha_loc_95_pop_0,0.620598,0.712557,-1.172190,2.201754
alpha_loc_96_pop_0,0.717431,0.660362,-0.787893,2.197006
alpha_loc_97_pop_0,0.214626,0.216094,-0.123520,0.530274
alpha_loc_98_pop_0,0.631618,0.632126,0.093011,1.200774
alpha_loc_99_pop_0,0.098973,0.449152,-2.543777,2.045686
alpha_loc_100_pop_0,0.285038,0.285706,-0.024903,0.599588
alpha_loc_101_pop_0,-0.902013,-0.890328,-2.908596,0.636957
alpha_loc_102_pop_0,0.009320,0.011367,-0.275506,0.278161
alpha_loc_103_pop_0,-0.422329,-0.235375,-1.675147,0.202244
alpha_loc_104_pop_0,0.285066,0.286488,-0.056788,0.629923
alpha_loc_105_pop_0,0.139180,0.147721,-0.271755,0.538732
alpha_loc_106_pop_0,-0.246428,-0.267087,-0.777463,0.418176
alpha_loc_107_pop_0,0.968297,0.949244,0.425053,1.633938
alpha_loc_108_pop_0,1.127084,1.111657,0.723864,1.607400
alpha_loc_109_pop_0,0.230618,0.236643,-0.137707,0.595635
alpha_loc_110_pop_0,1.088205,1.085301,0.157129,1.966059
alpha_loc_111_pop_0,0.244799,0.238926,-0.180269,0.683764
alpha_loc_112_pop_0,-0.100924,-0.066202,-1.073767,0.639615
alpha_loc_113_pop_0,0.053281,0.048601,-0.546208,0.602303
alpha_loc_114_pop_0,0.199669,0.201312,-0.137598,0.577122
alpha_loc_115_pop_0,0.385871,0.738231,-1.903313,1.733024
alpha_loc_116_pop_0,0.551681,0.534602,-0.966733,2.347977
alpha_loc_117_pop_0,1.105782,1.579655,-1.676563,2.540578
alpha_loc_118_pop_0,-1.664871,-1.646522,-3.961494,0.135306
alpha_loc_119_pop_0,0.015015,-0.011882,-0.263087,0.796768
alpha_loc_120_pop_0,2.049458,2.088928,1.273212,2.636724
alpha_loc_121_pop_0,-1.816402,-1.933183,-3.888138,0.740716
alpha_loc_122_pop_0,0.118811,0.113428,-0.139986,0.376294
alpha_loc_123_pop_0,-1.321372,-1.386054,-2.449234,0.453773
alpha_loc_124_pop_0,-0.210892,-0.776406,-2.703478,2.805810
alpha_loc_125_pop_0,2.193462,2.143128,0.647363,3.643085
alpha_loc_126_pop_0,0.070821,0.066273,-0.476470,0.640477
alpha_loc_127_pop_0,0.422666,0.344063,-0.634723,1.711107
alpha_loc_128_pop_0,0.315557,0.311542,0.001952,0.652589
alpha_loc_129_pop_0,0.451586,0.263070,-0.686642,2.356219
alpha_loc_130_pop_0,0.273551,0.284797,-0.084863,0.601197
alpha_loc_131_pop_0,0.651324,1.092696,-2.041080,2.025202
alpha_loc_132_pop_0,0.107121,0.115317,-0.338378,0.614578
alpha_loc_133_pop_0,-0.385748,-0.372869,-1.296828,0.323334
alpha_loc_134_pop_0,0.192755,0.048075,-0.730005,1.053355
alpha_loc_135_pop_0,0.495029,0.479968,-0.261257,1.577647
alpha_loc_136_pop_0,0.494610,0.478111,-0.075044,1.236965
alpha_loc_137_pop_0,-0.334720,-0.361121,-0.868995,0.322561
alpha_loc_138_pop_0,0.232677,0.234963,-0.022069,0.459855
alpha_loc_139_pop_0,0.557447,0.561011,0.238694,0.865583
alpha_loc_140_pop_0,-0.143837,-0.132479,-0.727734,0.417307
alpha_loc_141_pop_0,0.277127,0.278554,0.044234,0.518611
alpha_loc_142_pop_0,0.669071,0.590588,0.076913,1.745584
alpha_loc_143_pop_0,0.531863,0.868013,-1.402820,1.584149
alpha_loc_144_pop_0,0.981526,0.791387,0.063001,2.821646
alpha_loc_145_pop_0,0.035688,0.036629,-0.223452,0.296594
alpha_loc_146_pop_0,0.380728,0.397147,-0.447066,1.116374
alpha_loc_147_pop_0,0.161239,0.146166,-0.460251,0.841843
alpha_loc_148_pop_0,-0.328531,-0.975218,-2.666595,3.284587
alpha_loc_149_pop_0,0.066062,0.058169,-0.217057,0.370480
alpha_loc_150_pop_0,-0.045421,-0.191862,-0.805488,1.867417
alpha_loc_151_pop_0,-0.758098,-0.591792,-2.570798,0.481444
alpha_loc_152_pop_0,-0.095415,0.203908,-2.776898,1.258929
alpha_loc_153_pop_0,0.006362,-0.000456,-0.330693,0.351120
alpha_loc_154_pop_0,-0.077856,-0.079294,-0.418139,0.280988
alpha_loc_155_pop_0,0.456423,0.408940,-0.261874,1.504696
alpha_loc_156_pop_0,-0.131829,-0.127860,-0.364139,0.096447
alpha_loc_157_pop_0,-0.320609,-0.314165,-0.750313,0.075400
alpha_loc_158_pop_0,0.169598,0.152345,-0.395799,0.798828
alpha_loc_159_pop_0,0.258828,0.124002,-0.361093,2.160309
alpha_loc_160_pop_0,-0.031393,-0.160308,-0.879661,1.546381
alpha_loc_161_pop_0,-0.122882,-0.149702,-0.615684,0.491123
alpha_loc_162_pop_0,1.421793,1.691938,-0.554955,3.419815
alpha_loc_163_pop_0,0.150682,0.159300,-0.231554,0.482976
alpha_loc_164_pop_0,0.302519,0.431040,-1.502749,1.626476
alpha_loc_165_pop_0,0.044233,0.047760,-0.203321,0.279530
alpha_loc_166_pop_0,0.304910,0.300619,-0.066458,0.694292
alpha_loc_167_pop_0,-0.141476,-0.145901,-0.431846,0.163461
alpha_loc_168_pop_0,0.088022,0.088113,-0.167237,0.360761
alpha_loc_169_pop_0,0.032478,0.031148,-0.211666,0.289262
alpha_loc_170_pop_0,0.270986,0.238859,-0.333414,1.016869
alpha_loc_171_pop_0,-0.051549,-0.061026,-0.408397,0.289095
alpha_loc_172_pop_0,-0.029581,0.003077,-0.775251,0.762847
alpha_loc_173_pop_0,-1.256277,-0.906162,-3.510912,-0.084670
alpha_loc_174_pop_0,-1.315351,-1.327599,-2.417560,-0.093489
alpha_loc_175_pop_0,-0.021516,0.034918,-1.553639,1.195440
alpha_loc_176_pop_0,0.761070,0.755449,-0.322430,1.899103
alpha_loc_177_pop_0,1.510947,1.425564,-0.097515,3.594827
alpha_loc_178_pop_0,-0.025829,-0.026160,-0.313537,0.287296
alpha_loc_179_pop_0,0.417718,0.414579,0.094080,0.750850
alpha_loc_180_pop_0,0.482988,0.476893,0.190436,0.800779
alpha_loc_181_pop_0,-0.336817,-0.141749,-2.458217,1.407269
alpha_loc_182_pop_0,0.819317,0.859064,-0.485593,1.963519
alpha_loc_183_pop_0,0.016374,0.015479,-0.233122,0.270008
alpha_loc_184_pop_0,0.424896,0.439867,0.077134,0.712218
alpha_loc_185_pop_0,0.061061,0.097881,-0.677789,0.745815
alpha_loc_186_pop_0,-0.940634,-0.633894,-3.474990,0.496756
alpha_loc_187_pop_0,0.050566,0.048788,-0.214672,0.323202
alpha_loc_188_pop_0,-0.883433,-0.931643,-2.278470,0.523421
alpha_loc_189_pop_0,-2.109781,-2.096813,-3.612149,-0.804037
alpha_loc_190_pop_0,0.096371,0.090725,-0.202282,0.391940
alpha_loc_191_pop_0,0.176076,0.182504,-0.072333,0.391792
alpha_loc_192_pop_0,0.746184,0.713793,0.201911,1.438794
alpha_loc_193_pop_0,-0.049219,-0.052552,-0.452769,0.348783
alpha_loc_194_pop_0,0.456781,0.459546,0.037633,0.839857
alpha_loc_195_pop_0,-0.240217,-0.241950,-0.753961,0.189285
alpha_loc_196_pop_0,1.122409,1.063428,0.185873,2.258137
alpha_loc_197_pop_0,-1.499107,-1.480665,-2.949678,-0.202577
alpha_loc_198_pop_0,0.084866,0.079984,-0.463049,0.641361
alpha_loc_199_pop_0,1.087250,1.154963,-0.609989,3.154820
